name,shortname,type,description,cost,minimum,blueprints,source,mobility,effect,Skills,stats,conditional,armor,replaces,weapon,movement,morphs
Electrical Sense,,Enhanced Sense,"The character can sense electric fields. Within 5 meters, the character can instantly tell if an electrical device is on or off and can see the precise location of electrical wiring behind a wall or inside a device. This sense gives the character a +10 modifier on any test involving analyzing, repairing, or modifying electrical equipment.",Low,,TRUE,EP.306,,+10 to tests w/electrical equiptment,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Enhanced Hearing,,Enhanced Sense,"The morph's ears are enhanced to hear both higher and lower frequency sounds""the range of sounds they can hear is twice that of normal human ears (see Using Enhanced Senses). In addition, their hearing is considerably more sensitive, allowing them to hear sounds as if they were five times closer than they are. A character with this augmentation can easily overhear even a softly spoken conversation at another table in a small restaurant. This augmentation provides a +20 modifier to all Perception Tests involving hearing.",Low,,TRUE,EP.301,,+20 auditory perception,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Enhanced Smell,,Enhanced Sense,"The morph's sense of smell is equal to that of a bloodhound. The user can identify both chemicals and individuals by smell, and can track people and chemically reactive objects by smell as long as the trail was made within the last several hours and has not been obscured. The character can also gain a general sense of the emotions and health of any character within 5 meters (+20 to Perception or Kinesics Tests to do so).",Low,,TRUE,EP.301,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Enhanced Vision,,Enhanced Sense,"The morph's eyes have tetrachromatic vision capable of exceptional color differentiation. These eyes can also see the electromagnetic spectrum from terahertz wave frequencies to gamma rays, enabling them to see a total of several dozen colors, instead of the seven ordinary human eyes can perceive. In addition, these eyes have a variable focus equivalent to 5 power magnifiers or binoculars. This augmentation provides a +20 modifier to all Perception Tests involving vision. For further applications, see Using Enhances Senses.",Low,,TRUE,EP.301,,+20 visual perception,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Hearing Filter,,Enhanced Sense,With this implant morphs can fine tune the information provided by the bioware Enhanced Hearing as if it was the Cyberware version. ,Low,,TRUE,PO.149,,+20 auditory perception,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Polarization Vision,,Enhanced Sense,"Characters capable of seeing polarized light can view an aspect of light most humans only see weakly. Polarization reveals visual characteristics much in the way that color does for normal vision: it enhances contrast, foils camouflage, and helps to detect patterns and objects, particularly in light that is reflected off a shiny surface or scattered through the atmosphere or water. One major use of polarization is easier orien-tation in relation to polarized light sources (such as navigating underwater by the direction of sunlight). It also allows better detection of water surfaces, reflec-tive surfaces, and certain patterns made in the water or on skin (which can be created by chameleon skin). Polarization vision can discriminate watery surfaces from mirages and better detect transparent objects. In game terms, polarization vision allows the character to ignore negative visual Perception modifiers for camouflage, transparency, or viewing underwater. At the game-master's discretion, it may provide a bonus modifier for Perception Tests to detect patterns and Navigation Tests where orientation to light sources is beneficial. Octomorphs have natural polarization vision by default.",Low,,TRUE,PO.148,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Radiation Sense,,Enhanced Sense,"The character can sense the presence and approximate source of all forms of dangerous radiation, including neutrons, charged particles, and cosmic rays.",Low,,TRUE,EP.306,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Sense Filter,,Enhanced Sense,"This implant enables a character with a biological hyperspectral enhanced sense (enhanced hearing, smell, or vision) to filter out certain wavelengths and inputs like an equivalent technological sensor device. Normally a person with enhanced vision would experience terahertz, infrared, standard visual, ultraviolet, and gamma ray frequencies all at once. With this implant, however, they can tune out some wavelengths, ignoring them while still seeing the others. The same effect applies to audio or olfactory input, and the filter also allows the user to isolate specific noises or smells, canceling out sensory clutter or focusing on a specific source. This implant must be acquired separately for each sense.",Low,,TRUE,,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
T-Ray Emitter,,Enhanced Sense,"Mounted under the skin of the user's forehead, this implant generates low-powered beams of terahertz radiation (T-rays) that allow the character to see using reflected T-rays. As discussed in Using Enhanced Senses, this implant combined with the enhanced vision enhancement (or a terahertz sensor) allows the user to effectively see through cloth, plastic, wood, masonry, composites, and ceramics as well as being able to determine the composition of various materials. This implant allows the user to see using reflected T-rays for 20 meters in a normal atmosphere and for 100 meters in vacuum.",Low,,TRUE,EP.306,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Ultraviolet Vision,,Enhanced Sense,"This is a minor enhancement, simply adding perception of ultraviolet frequencies to the character's visual capabilities. Neo-avians have natural ultraviolet vision by default.",Trivial,,TRUE,PO.148,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Vision Filter,,Enhanced Sense,With this implant morphs can fine tune the information provided by the bioware Enhanced Vision as if it was the Cyberware version.,Low,,TRUE,PO.149,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
X-Ray Emitter,,Enhanced Sense,"This device is designed to be used with either the enhanced vision augmentation or specs. It emits a focused beam of low-powered x-rays that allows the user of either device to both see and see through most objects using backscatter x-ray radiation. This allows the character to literally see through walls and into containers, including ones made of metal.",Low,,TRUE,EP.317,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Bodysculpting,,Cosmetic Mod,"If your morph's enhanced physique isn't enough, you can take it further with custom bodysculpting such as as elongated ears or fingers, nose alteration, hair addition/removal, feathers, exotic eyes, snakeskin, endowed genitalia, and more unusual physical alterations.",Low,,TRUE,EP.309,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Nanotat,,Cosmetic Mod,"Tattoos created with nanobots can move around the body, change shape/color/brightness, texture, alternate text and images, and/or even create minor holographic effects on the skin's surface, all controllable via mesh inserts.",Low,,TRUE,EP.310,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Nanotat ID Flux,,Cosmetic Mod,"This highly illegal system is a programmable version of the nanotat ID. Any new (fake) ID may be programmed in, and the nanotat may be reconfigured in seconds (1 Action Turn) to switch to another ID pattern in storage. This nanoware may not be configured for legal IDs unless they are actually legal or their encryption has been cracked.",Expensive,,FALSE,PO.149,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Piercings,,Cosmetic Mod,"Name any part of the body and someone's figured out a way to pierce it, probably multiple times. Hoops, barbells, plugs, and chains are extremely common, often made of shapechanging smart materials.",Trivial,,TRUE,EP.310,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Scarification,,Cosmetic Mod,"Given modern medical abilities, scars of any sort are purely an affectation.",Trivial,,TRUE,EP.310,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Scent Alteration,,Cosmetic Mod,Minor changes to a body's biochemistry can alter a character's natural smell or constantly perfume them.,Low,,TRUE,EP.310,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Skindyes,,Cosmetic Mod,Dye jobs are available in all conceivable colors and patterns.,Trivial,,TRUE,EP.310,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Subdermal Implants,,Cosmetic Mod,"Adding small implants under the skin can create bumps, ridges, piercing anchors, and similar textures and alterations.",Trivial,,TRUE,EP.310,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
