NAME,TYPE,Stats,Skills,Armor,Stackable,Aptitudes,Blueprints,Cost,Minimum,Description,Book,Page
Neutrino Transceiver,Communications,,,,,,FALSE,Expensive,,"This transceiver is capable of generating and receiving neutrino signals at a range of at least 100 astronomical units. It is large, with a size of 8 cubic meters (in a cube 2 meters on a side), but they can be loaded onto large vehicles. To function, it must be connected to a large power plant, such as one found in habitats or large spacecraft. The cost and size of this device includes the computer necessary for quantum farcasting.",EP,314
Low-QBit Reservoir,Communications,,,,,,FALSE,High,,Low-capacity qubit reservoirs can be used for 10 hours of high-resolution video conferencing or meshbrowsing and 100 hours of voice or text only communications.,EP,315
Neutrino Retreat,Communications,,,,,,FALSE,High,,Remote backup storage for use with Emergency Farcasters (EP 306). Communicates with up to 10 different emergency farcasters and can store up to 10 egos.,GC,154
Satnet in a Can,Communications,,,,,,TRUE,High,,"a large self-launching smart-missile that deploys small orbital satellites. In 1-3 days it provides planet wide gps, surface map, and radio communications. ",GC,154
Hypersonic Communicator,Communications,,,,,,TRUE,Low,,"This device allows the user to transmit audio in a beam, so that the directed sound is only audible at the targeted position",PO,150
Miniature Radio Farcaster,Communications,,,,,,TRUE,Low,,"Miniature farcasters communicate with each other using standard radio transceivers. As noted above, they may only securely communicate with the other farcasters with which they are entangled. Most miniature farcasters are worn as jewelry or fitted into clothing or other equipment.",EP,315
Neo-Cetacean Translation Device,Communications,,,,,,TRUE,Low,,A small dime sized device that translates to an from the Neo-Cetacean language. Has Exotic Language: Neo-Cetacean at 50.,PO,150
Portable QE Comm,Communications,,,,,,TRUE,Low,,"This is a handheld FTL communications device. The actual communications unit can be made as small as desired, but must be large enough to connect to or hold a qubit reservoir. Because qubit reservoirs are relatively large and must be replaced, they are rarely implanted. Some miniature farcasters are designed so that users can also attach qubit reservoirs to enable them to be used for both light speed and FTL communication.",EP,315
Radio Beacon,Communications,,,,,,TRUE,Low,,"Portable, medium radio transmitter with a 250km range. Can be programmed with message(s) and set to repeat, alternate, or broadcast to a schedule.",GC,154
Radio Booster,Communications,,,,,,TRUE,Low,,"This device boosts the range and sensitivity of short-range radios, like those from implants, ectos, or microbugs. The booster must be with the shorter-ranged device's range (or directly linked via fiberoptic cable). It will repeat any transmissions received from that device, but at its extended range of 25 kilometers in urban areas (250 kilometers remote areas). Broadcasts from a radio booster are easy to receive by anyone looking for broadcasts, though transmissions may be stealthed. Boosters are commonly used by characters traveling far from habitats or other civilized regions.",EP,314
Laser/Microwave Link,Communications,,,,,,TRUE,Moderate,,"These portable devices are used to establish a tight-beam, line-of-sight communications channel with another laser or microwave link. The range of these transceivers varies widely with environmental factors, but approximates 50 kilometers in atmosphere and 500 kilometers in space (though horizon limits must be kept in mind, being 5 kilometers at ground level on Earth and less on smaller bodies). Lasers are subject to interference from fog, dirt, smoke, and similar visual chaff, while microwaves may be hindered by metallic obstructions. These links may only be intercepted by getting directly in between the beams. Some teams carry a micro version of this system, worn on their person, allowing line of sight intra-team communications that cannot be intercepted like radio.",EP,314
Fiberoptic Cable,Communications,,,,,,TRUE,Trivial,,"Fiberoptic cables are used to establish wired connections between two devices. Given the ubiquity of radios and the tangled mess wires cause, they are typically only used for privacy (unlike radio communication, fiberoptic signals may not be intercepted) or in areas with heavy radio interference.",EP,313
Mission Recorder,Communications,,,,,,TRUE,Trivial,,"Mini-sized spime designed to record live XP-cast, or other sensor feeds from gatecrashing teams.",GC,155
Tracker Dye,Chemicals,,,,,,TRUE,Trivial,,This liquid is colorless at normal light but becomes recognizable under pre-specified different wavelengths (such as infrared or ultraviolet).,EP,323
Slip,Chemicals,,,,,,TRUE,Low,,"This liquid is almost entirely frictionless. When spread around an area (commonly used in splash grenades), anyone attempting to walk or run on the affected surface must make a COO Test or fall down. Likewise, any coated surface becomes extremely hard to grip onto, requiring a SOM Test to hang on. Anyone attempting to grapple a slip-soaked character suffers a -30 modifier.",EP,323
Scrapper's Gel,Chemicals,,,,,,TRUE,Low,,"This goo turns into a potent acid when given an electrical charge. It comes in a gel-like state and may be smeared like jelly, and may even be used in space. In acid form, scrapper's gel does 1d10 + 5 DV per Action Turn to anything it touches, unless the material has been treated against acid. Armor will protect against this acid at first, but the acid will eat through the armor, so that it will no longer protect after its full armor value has been reached.",EP,323
NotWater,Chemicals,,,,,,TRUE,Trivial,,"NotWater is an effective liquid fire retardant that does not get objects wet, no matter how absorbent they are""it simply beads up and slides right off.",EP,323
Liquid Thermite,Chemicals,,,,,,TRUE,Moderate,,"Similar to scrapper's gel, liquid thermite comes in a gel form that is easily applied under all environmental conditions (by the nature of its chemical reaction, thermite is oxygenated and will burn underwater or in space). It is ignited with an electric charge, burning at temperatures exceeding 2,500 degrees Celsius and melting through whatever it is touching. Liquid thermite inflicts 3d10 + 5 DV per Action turn to whatever it is touching. Armor will also be burnt through, offering no protection once the full Armor rating has been reached.",EP,323
DMSO,Chemicals,,,,,,TRUE,Trivial,,"This chemical acts as a carrier, allowing other chemicals to be absorbed through the skin. It allows any chemical agent to be applied dermally.",EP,323
Atropine,Chemicals,,,,,,TRUE,Trivial,,"Though poisonous in large doses, atropine is an effective antidote against nerve agents like BTX2 and Nervex. Easily synthesized in a maker, atropine will avert the effect whether taken soon before or after dosage by a nerve agent.",EP,323
Ablative Patches,Armor Mods,,,4/2,TRUE,,TRUE,Trivial,,"These thin and light slap-on patches of stick to armor and are designed to absorb heat and energy from beams and explosions, safely vaporizing and blowing hot gas away. Ablative patches increases the Armor Value by +4/+2, but each hit reduces both the energy and kinetic value of the ablative armor by 1.",,
Refractive Glazing,Armor Mods,,,3/0,TRUE,,TRUE,Low,,"A combination of reflectors, refractive metamaterials, and an energy transfer system with heat radiators provides extra protection against energy weapons. Increase the Armor Value by +3/+0.",,
Fireproofing,Armor Mods,,,2/0,TRUE,,TRUE,Trivial,,"Fireproofing includes the addition of heat-resistant ceramic or fire-resistant layers, both capable of withstanding extremely high temperatures. Fireproofing increases the Armor Value by +2/+0, and provides an additional 10 points of armor against heat or fire specifically.",,
Immunogenic System,Armor Mods,,,,,,TRUE,Low,,"The immunogenic mod adds an active nanobot swarm, maintained by a specialized hive, that coats the outer layer of armor and also the non-armored parts of the wearer's morph. It acts as an outer immune system designed to neutralize toxic agents and nanotoxins with which it comes into contact. This provides immunity to drugs, toxins, and nanotoxins applied dermally, such as with a slap patch or splash grenade. It has no effect on inhaled, oral, or injected drugs (including coated weapons).",,
Offensive Armor,Armor Mods,,,,,,TRUE,Low,,"When activated, the outer layer of this armor is rigged to shock anyone or anything that contacts it with electricity. Treat its DV and effect as a shock baton.",,
Shock Proof,Armor Mods,,,,,,TRUE,Low,,Shock proof armor is electronically insulated to discharge and reduce the effect of shock weapons. Apply an additional +10 modifier when resisting the DV and effects of shock weapons.,,
Reactive Coating,Armor Mods,,,,,,TRUE,Moderate,,"A thick layer of advanced nanotech is applied to the armor, protecting it with a colony of nanobots designed to sense incoming attacks. When an attack strikes the coating, it detonates to disrupt the attack. Bursts and full autofire are treated as a single attack. A reactive coating increases the Armor Value by +5/+5, but each detonation automatically inflicts 1 point of damage on the wearer. Reactive armor also works against melee attacks, but the attacker also suffers 1d10 / 2 (round up) points of damage per attack (armor protects) from the microexplosion. Reactive coating only works against 5 attacks, after which the specialized nanobot hive replenishes the coating at the rate of 1 use per hour.",,
Self-Healing,Armor Mods,,,,,,TRUE,Moderate,,The armor is equipped with a nanohive that acts like repair spray.,,
Thermal Dampening,Armor Mods,,,,,,TRUE,Moderate,,Thermal dampening obfuscates heat signatures by converting body heat into electric energy. It makes the target more difficult to spot with thermal sensors; apply a -30 modifier for Perception Tests.,,
Chameleon Coating,Armor Mods,,,,,,TRUE,Trivial,,This provides the armor with the same effect as the chameleon cloak.,,
Lotus Coating,Armor Mods,,,,,,TRUE,Trivial,,"The armor has been impregnated with a superhydrophic coating (contact angle of around 170) that repels all water-like liquids. If the armor is splashed by liquid toxins or chemicals, the effect is reduced since the liquids starts to roll off the armor. Apply a +30 modifier when defending against liquid-based attacks.",,
Armor Vest,Armor,,,6/6,TRUE,,TRUE,Low,,"Armor vests provide more thorough protection to a body's vital areas, covering the abdomen and torso completely, protecting the neck with a rigid collar, and even providing wrap-under protection for the groin. Though armor vests are not bulky, they are obvious as armor. Armor vests may be worn with armor clothing without penalty. Armor vests provide an Armor Value of 6/6.",,
Crash Suit,Armor,,,4/6,TRUE,,TRUE,Low,,"Designed for both industrial worksite safety and protection from accidental zero-G collisions, crash suits are also favored by sports enthusiasts and explorers. The basic jumpsuit offers comfortable protection equal to that of armor clothing. When activated with an electronic signal, however, elastic polymers within the suit stiffen and form rigid impact protection for vital areas. Crash suits provide an Armor Value of 3/4 when inactive and 4/6 when activated.",,
Armor Clothing,Armor,,,3/4,TRUE,,TRUE,Trivial,,The extra-resilient organoweave fibers and fullerene materials that offer basic protection against kinetic and energy weapons can be woven in with normal smart materials to create a wide range of discreet armor clothing that provides a subtle level of security. Such protective garments are indistinguishable from regular clothing and come in all styles and designs. Armor clothing provides an Armor Value of 3/4.,,
Full Helmet,Armor,,,3/3,TRUE,,TRUE,Trivial,,"This armor accessory is usually worn with body armor or a battle suit. Light helmets are open, whereas full helmets latch on and provide an environmental seal with a 12 hour supply of air. Light helmets provide an Armor Value bonus of +2/+2, whereas full helmets add +3/+3. Helmets are often equipped with an ecto, a radio booster, and sensors equal to specs.",,
Riot Shield,Armor,,,3/2,TRUE,,TRUE,Low,,"Used for mob suppression, riots shields are light-weight, tough, and may be set to electrify on command, stunning anyone who comes into contact with the outer surface (treat as shock glove effects). Riot shields provide an Armor Value bonus of +3/+2.",,
Smart Skin,Armor,,,3/2,TRUE,,TRUE,Low,,"Smart skin is an advanced nanofluid that covers the wearer's skin. It resembles liquid mercury but retains the texture and flexibility of normal skin until activated, at which point the material becomes rigid enough to protect the wearer and distribute the kinetic energy (though still flexible enough at the joints not to impede movement). A specialized hive, worn by the character, replenishes the nanobots and stores them when not in use. Deploying the nanobots across the body takes a full Action Turn. Smart skin has an Armor Value of 3/2, and may be worn with other armor without penalty.",,
Spray Armor,Armor,,,2/2,TRUE,,TRUE,Low,,"This fast armor application comes in a spray can and disperses a smart chemical polymer that sticks to bare flesh (but does not adhere to hair and eyes). The polymer solidifies into a form fitting body armor fabric when exposed to body temperature with the look and feel of a latex suit. Spray armor does not work on synthetic morphs or on clothing or other armor. The color and feel of the armor can be adjusted with electric currents and additional polymers, making it popular among some socialite and nightlife scenes. The spray-on armor does not wash off, but degrades 1 point of armor (both energy and kinetic) every 12 hours. It may be removed with a special nanotech solvent. Spray armor has an Armor Value of 2/2.",,
Light Helmet,Armor,,,2/2,TRUE,,TRUE,Trivial,,"This armor accessory is usually worn with body armor or a battle suit. Light helmets are open, whereas full helmets latch on and provide an environmental seal with a 12 hour supply of air. Light helmets provide an Armor Value bonus of +2/+2, whereas full helmets add +3/+3. Helmets are often equipped with an ecto, a radio booster, and sensors equal to specs.",,
Body Armor (Heavy),Armor,,,13/13,TRUE,,TRUE,Moderate,,"Similar to light body armor, but with extra protective layers, often ergonomically manufactured to conform to a specific character's body, and an environmental seal with climate control to protect the wearer from hostile environments. It provides an Armor Value of 13/13.",,
Body Armor (Light),Armor,,,10/10,TRUE,,TRUE,Low,,"These high performance armor outfits protect the wearer from head to toe. An integrated armor vest is supplemented with increased protection on the limbs and joints, while still managing to be flexible and non-restrictive. Body armor is typically worn by security and police forces, and supplemented with a helmet. It provides an Armor Value of 10/10.",,
Second Skin,Armor,,,1/3,TRUE,,TRUE,Low,,"This lightweight bodysuit, woven from spider silks and fullerenes, is typically worn as an underlayer, though some athletes use it as a uniform. It provides minimal protection, but may be worn with other armor without penalty. It provides an Armor Value of 1/3.",,
Kaos AI,AIs,,,,,,FALSE,Expensive,,"Kaos AIs are used by hackers and covert ops teams to create distractions and sabotage systems. REF 20. Skills: Hardware: Electronics 40, Infosec 40, Interface 40, Professional: Security System 80, Programming 40, Research 20, Perception 30 plus one weapon skill at 40.",EP,332
Standard Muse (Free),AIs,,,,,,FALSE,Free,,"Muses are digital entities that have been designed as personal assistants and lifelong companions for transhumans. INT 20. Skills: Academics: Psychology 60, Hardware: Electronics 30, Infosec 30, Interface 40, Professional: Accounting 60, Programming 20, Research 30, Perception 30, plus three other Knowledge skills at 40. This entry represents the free muse that almost all PCs receive. Additional muses must be bought at a cost of [High].",EP,332
Bot/Vehicle AI,AIs,,,,,,FALSE,High,,"These AIs are designed to be capable of piloting the robot/vehicle without transhuman assistance. REF 20. Skills: Hardware: Electronics 20, Infosec 20, Interests: [Bot/Vehicle] Specs 80, Interface 40, Research 20, Perception 40, Pilot: [appropriate field] 40.",EP,331
Monitor AI,AIs,,,,,,FALSE,High,,These Ais are designed to surveil their subject and keep them from engaging in any proscribed activities.,TH,199
Security AI,AIs,,,,,Aptitudes,FALSE,High,,"Security AIs provide overwatch for electronic systems. Skills: Hardware: Electronics 30, Infosec 40, Interface 40, Professional: Security Systems 80, Programming 40, Research 20, Perception 30, plus one weapon skill at 40.",EP,332
Standard Muse,AIs,,,,,,FALSE,High,,"Muses are digital entities that have been designed as personal assistants and lifelong companions for transhumans. INT 20. Skills: Academics: Psychology 60, Hardware: Electronics 30, Infosec 30, Interface 40, Professional: Accounting 60, Programming 20, Research 30, Perception 30, plus three other Knowledge skills at 40.",EP,332
Wobblycat AI,AIs,,,,,,FALSE,High,,"These highly customized AIs are optimized for the hardware in a wobblycat bot (p. 176). Skills: Demolitions 20, Fray (Wobblycat) 40 (50), Infiltration (Wobblycat) 40 (50), Interest: Current Mission Objectives 80, Interest: Security Device Specs 60, Interfacing 40, Perception 40, Research 20",,
Animal Keeper AI,AIs,,,,,,FALSE,Moderate,,"A muse for smart animals, if the animal is equipped with a puppet sock it can also jam it like a biodrone.",PO,155
Device AI,AIs,,,,,,FALSE,Moderate,,"These AIs are designed to operate a particular device without transhuman assistance. Skills: Infosec 20, Interests: [Device] Specs 80, Interface 30 (Device Specialization), Programming 20, Research 20, Perception 20.",EP,331
Sensor AI,AIs,,,,,,FALSE,Moderate,,AI present in most of the shelf sensor systems.,PO,157
Technician AI,AIs,,,,,,FALSE,Moderate,,An AI that is used on habitats and aboard ships to direct the work of repair drones.,PO,157
Titanian Muse Upgrade,AIs,,,,,,FALSE,Moderate,,"Adds the following skills at 60 to a Standard Muse; Academics: History, Academics: Political Science, Interest: Parliamentary Procedure, and Profession: Law",RW,199
Attache AI,AIs,,,,,,FALSE,Special,,"Attach?s are expert-system consultants used by Titanian intelligence groups (see Exsurgent Virus Detection, below), commonly assigned to ministers and diplomats. They are typically connected by VPN to the Orchestra, which they ping for requests for information. Attach?s are usually sleeved into nondescript synths marked with vertical blue stripe on the right side of their face. If risk of tampering with the attach? is deemed high, the synth may contain a ghostrider module with a security AI riding shotgun. Memory locks and dead switches are also common. [Only Available at Gamemaster Discretion] Skills: Deception 40, Infosec 40, Interest: Titanian Current Events 80, Interfacing 20, Kinesics 40, Perception 20, Persuasion 20, Profession: Diplomacy 40, Profession: Intelligence Briefing 60, Protocol 20, Research 40",,
Vaettir AI,AIs,,,,,,FALSE,Special,,"Titanian Fleet Intelligence uses vaettir (or ""wights"") as the ultimate in deniable assets. Sleeved into synthmorphs or pods with dead switches and memory locks, wights are used as everything from security guards and tails in urban settings to extra hands on missions through the gates or beneath Iapetus. [Only Available at Gamemaster Discretion] Skills: Fray 40, Freerunning 20, Infiltration 20, Interest: Current Mission 80, Kinetic Weapons 40, Perception 20, Profession: Security Ops 60, Research 20",,
